Date,Symbol,Window_Days,Window_Type,Volatility,Volatility_Pct,VaR_95,VaR_95_Pct,VaR_99,VaR_99_Pct,Skewness,Kurtosis,Excess_Kurtosis,Max_Drawdown,Max_Drawdown_Pct,Year,Month,Quarter,Risk_Level
2025-09-16,GOOGL,30,30-Day,0.3240397843321746,32.40397843321746,-0.00851333924234196,-0.8513339242341961,-0.010675685697860404,-1.0675685697860404,2.4882907578019196,8.157254949672708,5.1572549496727085,-0.02246194230793867,-2.246194230793867,2025,9,Q3,Medium
2025-09-17,GOOGL,30,30-Day,0.3191329730346891,31.913297303468912,-0.00851333924234196,-0.8513339242341961,-0.010675685697860404,-1.0675685697860404,2.7290784268446253,9.494596251931188,6.494596251931188,-0.022461942307938774,-2.2461942307938774,2025,9,Q3,Medium
2023-12-13,GOOGL,60,60-Day,0.3099893311034939,30.99893311034939,-0.024766494421994984,-2.4766494421994985,-0.057367071656141674,-5.736707165614168,-1.6519583023885382,8.773120515804173,5.773120515804173,-0.1307721410337919,-13.07721410337919,2023,12,Q4,Medium
2023-12-14,GOOGL,60,60-Day,0.3099908547271522,30.999085472715223,-0.024766494421994984,-2.4766494421994985,-0.057367071656141674,-5.736707165614168,-1.6561899838226926,8.782601914390185,5.782601914390185,-0.1307721410337917,-13.07721410337917,2023,12,Q4,Medium
2023-12-15,GOOGL,60,60-Day,0.303488664425493,30.348866442549298,-0.01989372478351273,-1.9893724783512727,-0.05462980601842246,-5.462980601842246,-1.7641858229891407,9.885396868970249,6.885396868970249,-0.13077214103379176,-13.077214103379175,2023,12,Q4,Medium
2023-12-18,GOOGL,60,60-Day,0.2992652242156157,29.926522421561568,-0.019386364247059577,-1.9386364247059578,-0.05462980601842246,-5.462980601842246,-1.88192943576284,10.789676935605842,7.789676935605842,-0.130772141033792,-13.0772141033792,2023,12,Q4,Medium
2023-12-19,GOOGL,60,60-Day,0.30313781396503525,30.313781396503526,-0.019386364247059577,-1.9386364247059578,-0.05462980601842246,-5.462980601842246,-1.8465946439503969,10.308053637699407,7.308053637699407,-0.13077214103379173,-13.077214103379173,2023,12,Q4,Medium
2023-12-20,GOOGL,60,60-Day,0.30311092116529653,30.311092116529654,-0.019386364247059577,-1.9386364247059578,-0.05462980601842246,-5.462980601842246,-1.8462354296768833,10.310429333849344,7.310429333849344,-0.13077214103379198,-13.077214103379198,2023,12,Q4,Medium
2023-12-21,GOOGL,60,60-Day,0.30102812346434316,30.102812346434316,-0.018294578853157932,-1.8294578853157932,-0.05462980601842246,-5.462980601842246,-1.9461775765214706,10.892474640293441,7.892474640293441,-0.13077214103379195,-13.077214103379195,2023,12,Q4,Medium
2023-12-22,GOOGL,60,60-Day,0.30097202523305894,30.097202523305892,-0.018294578853157932,-1.8294578853157932,-0.05462980601842246,-5.462980601842246,-1.9469035618733053,10.90041538267916,7.90041538267916,-0.13077214103379195,-13.077214103379195,2023,12,Q4,Medium
2023-12-26,GOOGL,60,60-Day,0.30019215819871936,30.019215819871935,-0.018294578853157932,-1.8294578853157932,-0.05462980601842246,-5.462980601842246,-1.9499107184253406,11.000220883761465,8.000220883761465,-0.13077214103379156,-13.077214103379156,2023,12,Q4,Medium
2023-12-27,GOOGL,60,60-Day,0.29911491579543825,29.911491579543824,-0.018294578853157932,-1.8294578853157932,-0.05462980601842246,-5.462980601842246,-1.9968967130201696,11.285752164504602,8.285752164504602,-0.1307721410337919,-13.07721410337919,2023,12,Q4,Medium
2023-12-28,GOOGL,60,60-Day,0.2955732189037862,29.557321890378617,-0.018294578853157932,-1.8294578853157932,-0.05462980601842246,-5.462980601842246,-2.0157477788774094,11.677704457226817,8.677704457226817,-0.1307721410337918,-13.07721410337918,2023,12,Q4,Medium
2023-12-29,GOOGL,60,60-Day,0.29418415913008117,29.41841591300812,-0.018294578853157932,-1.8294578853157932,-0.05462980601842246,-5.462980601842246,-2.0704766161603625,12.048633659074246,9.048633659074246,-0.13077214103379187,-13.077214103379188,2023,12,Q4,Medium
2024-01-02,GOOGL,60,60-Day,0.2913440118849872,29.13440118849872,-0.018294578853157932,-1.8294578853157932,-0.05462980601842246,-5.462980601842246,-2.0843068958308795,12.416939343305884,9.416939343305884,-0.13077214103379164,-13.077214103379164,2024,1,Q1,Medium
2024-01-03,GOOGL,60,60-Day,0.2922876132116312,29.22876132116312,-0.018294578853157932,-1.8294578853157932,-0.05462980601842246,-5.462980601842246,-2.0415010506891025,12.14308424660945,9.14308424660945,-0.13077214103379173,-13.077214103379173,2024,1,Q1,Medium
2024-01-04,GOOGL,60,60-Day,0.2900557867637605,29.005578676376047,-0.018294578853157932,-1.8294578853157932,-0.05462980601842246,-5.462980601842246,-2.068271659464072,12.494605263784543,9.494605263784543,-0.13077214103379198,-13.077214103379198,2024,1,Q1,Medium
